,id,datetime,colorhex,numpixel,percentage
0,1,2022:02:08 16:42:20,#B9BCBC,7035,7.816666666666666
1,1,2022:02:08 16:42:20,#BFC3C6,10975,12.194444444444445
2,1,2022:02:08 16:42:20,#CBCCC9,13707,15.229999999999999
3,1,2022:02:08 16:42:20,#CCC2B4,12656,14.062222222222223
4,1,2022:02:08 16:42:20,#CFC7BD,7510,8.344444444444445
5,1,2022:02:08 16:42:20,#D2CFC8,6302,7.002222222222223
6,1,2022:02:08 16:42:20,#D4D1C9,5166,5.74
7,1,2022:02:08 16:42:20,#D5CCC0,9483,10.536666666666667
8,1,2022:02:08 16:42:20,#DCD2C3,9841,10.934444444444443
9,1,2022:02:08 16:42:20,#E4D9C7,7325,8.13888888888889
0,2,2022:02:08 16:42:32,#B7B8B5,7491,8.323333333333334
1,2,2022:02:08 16:42:32,#BBBEBE,16962,18.846666666666668
2,2,2022:02:08 16:42:32,#BDBCB7,3059,3.3988888888888886
3,2,2022:02:08 16:42:32,#C2BFB8,3851,4.278888888888889
4,2,2022:02:08 16:42:32,#C3C2BE,11096,12.328888888888889
5,2,2022:02:08 16:42:32,#CBBFAF,14043,15.603333333333333
6,2,2022:02:08 16:42:32,#CBC4BA,10763,11.958888888888888
7,2,2022:02:08 16:42:32,#D3C5B2,9455,10.505555555555555
8,2,2022:02:08 16:42:32,#D4CABB,6165,6.8500000000000005
9,2,2022:02:08 16:42:32,#DDCCB5,7115,7.905555555555556
0,3,2022:02:08 16:42:45,#A2AEB7,9294,10.326666666666668
1,3,2022:02:08 16:42:45,#B6B8B7,10075,11.194444444444445
2,3,2022:02:08 16:42:45,#BBBDBC,10050,11.166666666666666
3,3,2022:02:08 16:42:45,#C3BEB6,8295,9.216666666666667
4,3,2022:02:08 16:42:45,#C9C4BB,10706,11.895555555555555
5,3,2022:02:08 16:42:45,#CDBFAD,6481,7.201111111111111
6,3,2022:02:08 16:42:45,#D3C5B2,11519,12.79888888888889
7,3,2022:02:08 16:42:45,#DFC9AD,10148,11.275555555555556
8,3,2022:02:08 16:42:45,#E9D0B0,7359,8.176666666666668
9,3,2022:02:08 16:42:45,#F7D7AE,6073,6.747777777777777
0,4,2022:02:08 16:43:03,#A9A49C,6714,7.46
1,4,2022:02:08 16:43:03,#B2ADA6,14988,16.653333333333332
2,4,2022:02:08 16:43:03,#B4B0AA,6405,7.116666666666667
3,4,2022:02:08 16:43:03,#B6B1AA,7585,8.427777777777777
4,4,2022:02:08 16:43:03,#B9B2A8,8607,9.563333333333333
5,4,2022:02:08 16:43:03,#B9B5AF,13512,15.013333333333334
6,4,2022:02:08 16:43:03,#BEB6AB,8233,9.147777777777778
7,4,2022:02:08 16:43:03,#C2BAAF,10705,11.894444444444446
8,4,2022:02:08 16:43:03,#CBBFB0,7678,8.531111111111112
9,4,2022:02:08 16:43:03,#DDCBB2,5573,6.192222222222222
0,5,2022:02:08 17:09:40,#B2B5BD,10017,11.129999999999999
1,5,2022:02:08 17:09:40,#B7BCC5,12071,13.412222222222223
2,5,2022:02:08 17:09:40,#B8C3D1,4333,4.814444444444444
3,5,2022:02:08 17:09:40,#BCC4CF,7862,8.735555555555557
4,5,2022:02:08 17:09:40,#BDC7D3,9616,10.684444444444445
